Row_ID,Date,IP,Project,Dataset,Folder,Hits,Traffic (browse),Traffic (data),Platform,Access Type,Country
1,1/07/2016,122.108.215.174,fj7,Sentinel-2,,7,835741,0,"linux,python",http,AU
2,1/07/2016,122.108.215.174,fj7,,,2,4454,0,"linux,python",http,AU
3,1/07/2016,138.44.129.42,fj7,Sentinel-2,,14,4343348,0,python,http,AU
4,1/07/2016,203.12.195.65,fj7,,,1,1809,0,windows,http,AU
5,2/07/2016,66.249.82.240,fj7,Sentinel-1,GRD,1,0,81840,android,http,
6,2/07/2016,66.249.82.240,fj7,Sentinel-1,,1,8119,0,android,http,
7,2/07/2016,66.249.82.243,fj7,Sentinel-1,,1,4424,0,android,http,
8,2/07/2016,202.89.160.213,fj7,Sentinel-1,GRD,3,0,747541657,"android,windows",http,AU
9,2/07/2016,202.89.160.213,fj7,Sentinel-1,,6,37629,0,"android,windows",http,AU
10,3/07/2016,1.41.166.155,fj7,Sentinel-2,,2,0,9817490374,windows,http,AU
11,3/07/2016,58.110.187.51,fj7,Sentinel-2,,1,2104,0,windows,http,AU
12,3/07/2016,58.110.187.51,fj7,,,1,1809,0,windows,http,AU
13,5/07/2016,129.180.72.42,fj7,Sentinel-2,,1,0,7411571268,windows,http,AU
14,5/07/2016,138.44.129.42,fj7,Sentinel-2,,1,0,4908745187,linux,http,AU
15,5/07/2016,140.79.20.136,fj7,,,1,1809,0,windows,http,AU
16,6/07/2016,129.180.72.42,fj7,Sentinel-2,,4,0,20496732883,windows,http,AU
17,6/07/2016,138.44.129.42,fj7,Sentinel-2,,6,0,35045565571,linux,http,AU
18,6/07/2016,150.203.8.46,fj7,Sentinel-1,,1,3532,0,osx,http,AU
19,6/07/2016,150.203.8.46,fj7,,,1,1809,0,osx,http,AU
20,7/07/2016,203.12.194.100,fj7,Sentinel-2,,1,0,2218390467,windows,http,AU
21,7/07/2016,203.12.195.52,fj7,Sentinel-2,,6,643938,2218392579,windows,http,AU
22,7/07/2016,203.12.195.52,fj7,,,1,1809,0,windows,http,AU
23,7/07/2016,203.12.195.65,fj7,,,1,1809,0,windows,http,AU
24,7/07/2016,203.161.117.227,fj7,Sentinel-2,,1,2104,0,windows,http,AU
25,7/07/2016,203.161.117.227,fj7,,,3,5427,0,windows,http,AU
26,9/07/2016,14.139.239.194,fj7,,,1,2227,0,python,http,IN
27,11/07/2016,203.12.194.65,fj7,,,1,1809,0,windows,http,AU
28,11/07/2016,203.12.195.65,fj7,,,1,1809,0,windows,http,AU
29,12/07/2016,124.47.132.132,fj7,Sentinel-1,,1,3532,0,osx,http,AU
30,12/07/2016,124.47.132.132,fj7,Sentinel-2,,1,2104,0,osx,http,AU
31,12/07/2016,124.47.132.132,fj7,,,2,3618,0,osx,http,AU
32,13/07/2016,124.47.132.132,fj7,Sentinel-1,RAW,1,0,661464294,windows,http,AU
33,13/07/2016,124.47.132.132,fj7,Sentinel-1,SLC,1,0,4253666736,windows,http,AU
34,13/07/2016,150.203.6.16,fj7,,,4,8072,0,osx,http,AU
35,13/07/2016,152.83.132.28,fj7,Sentinel-1,GRD,13,0,8592563131,wget,http,AU
36,13/07/2016,152.83.197.92,fj7,Sentinel-1,GRD,3,681492,2057,windows,http,AU
